task,occupation,company_count,company
Accept payment on accounts.,Loan Interviewers and Clerks,120,"Greenboard; Salient; Extend; Parsewise; Skyvern; Veriff; Rabbet; Wattson Health; Trueplace; CambioML; Paradigm; Credal.ai; Handl; Trébol; Giga ML; Spade; Domu Technology Inc.; Senso; Lysto; SciPhi; Inscribe; Trace; Diligent; Stamp; Struct; Jestor; Next Caller; AutoComputer; Sola; Avallon AI; Reducto; Redouble AI; Authologic; Kastle; amiloz; dili; Truora; Fluently; Bankjoy; Callback; DryMerge; Repacket; Pernell; Calltree AI; Iambiq Technologies; Clara Labs; Dexterity; Plutto; VoxOps AI; Greenlite; Tejas AI; Fathom; Plivo; Sphinx; Aftercare; Airweave; Casca; Veryfi, Inc.; Asteroid; Compose.ai; Willow; Verihubs; Onyx; Klarity; Fintelite; Type; Feather; CopyCat; Mintplex Labs; General Agency; Sidenote; Velos; Aqua Voice; CreatorOS; Prodigal; MailTime; Approval AI; Shiboleth; Elyos; Tasker AI; Lumina; Axiom.ai; Symphony; Berbix; Retape; Percept.AI; Finosu; Zuni; Tetra; Dev Tools AI; Dojah Inc; Axle; PayCrunch; Autotab; Blue Onion; Accend; Marr Labs; Sei; Tranqui Finanzas; Fragment; HUD; Flair Labs; Castle; Stack AI; Heron Data; Remo; CozmoX AI; Simple AI; Protegee; Onward; AviaryAI; NanoNets; Respaid; Kashin; Basepilot; Arva AI; Tergle; Baubap; Two Dots; Luminai"
Access computerized financial information to answer general questions as well as those related to specific accounts.,"Bookkeeping, Accounting, and Auditing Clerks",119,"Greenboard; Langdock; Salient; Extend; CoreCare; Razorpay; Forage Mail; Parsewise; Zeit AI; Dimely; Skyvern; Automat; Tesorio; Friday; Fazeshift; Amby Health; CambioML; Hatch; Paradigm; Finnt; Credal.ai; Handl; Curacel; Spade; Argovox; Egress Health; TrueClaim; Alaan; SciPhi; Recurrency; Seals AI; Jestor; AutoComputer; Sola; Speedy Labs; Sennu AI; Cedalio; Aldara; Callback; Anasen; Sway Finance; Iambiq Technologies; Cenote; Clara Labs; Dexterity; Deel; Peppr AI; Tile; TigerEye; Veryfi, Inc.; Willow; Zen99; CombineHealth; Caribou; TripleZip; Karmen; Klarity; Pax; Lighthouz AI; Sphere; Shift Health; Feather; PandasAI; CopyCat; GreenTally; Brewit; General Agency; Agentive; Askdata; Velos; Aqua Voice; Afternoon.co; MailTime; Patterns; Bluebook; Shiboleth; Truewind; Tasker AI; LedgerUp; Lumina; Axiom.ai; Finosu; Midship; Dev Tools AI; Fuse; Autotab; Substrate; Blue Onion; Magic Loops; HOAi; Elevate; SPRX; Mesh; Shape; Tabular; Soraban; TradeFlow; Stack AI; Heron Data; Finlens; Pyq AI; TaxGPT; NanoNets; Paperplane; Concourse; Brex; Respaid; Glimpse; Valora; Delegasi; Basedash; Basepilot; Tergle; Slicker; Merlin AI; Carousel Technologies; JustPaid.ai; ElectroNeek; Luminai"
Adapt or design computer hardware or software for medical science uses.,Bioengineers and Biomedical Engineers,59,"Menten AI; Persist AI; 1910 Genetics; Nanograb; Dropprint Genomics; Abalone Bio; Draftaid; Verge Genomics; Dropbox; Metalware; Reticular; Leeroo; Sepsis Scout; Piramidal; Bilanc; Maya Labs; Rescale; Ember Robotics; Tasker AI; Elessar; HypaHub; Andromeda Surgical; Glimmer; Medium Biosciences; Output Biosciences; Tamarind Bio; Scispot; Zeta Surgical; Hatch; G LNK; Akido Labs; Harmonic Discovery; Olio Labs; Evolvere BioSciences; 20n; Metofico; Segmed; PostEra; Klarismo; Serinus Biosciences; Spiral Genetics; Hestus, Inc.; Arpeggio Bio; et al.; Macromoltek; Patchwork; Makani Science; iollo; Clara Labs; MedCrypt; Paperspace; AlgoSurg Inc; Lamin; Cleancard; 64x Bio; Perlara; Pando Bioscience; Lavo Life Sciences; WhiteLab Genomics"
"Address envelopes or prepare envelope labels, using typewriter or computer.",Word Processors and Typists,73,CoreCare; Langdock; Extend; AutoComputer; Clarion; Sola; Forage Mail; LinkGrep; CopyCat; Shift Health; Mintplex Labs; Poly; Skyvern; General Agency; Sidenote; Taskade; Velos; Automat; Aqua Voice; Workflow86; Adravision; Lamar Health; Akiflow; Stack AI; Dropbox; MailTime; Heron Data; Sapling.ai; Moonglow; PearAI; Pumpkin; Callback; Wattson Health; Repacket; Elyos; Motion; Tasker AI; Iambiq Technologies; Hatch; CambioML; Clara Labs; Paradigm; Dexterity; Lumina; Axiom.ai; MindFi; Credal.ai; Latent Space; Zuni; K-Scale Labs; Slite; VectorShift; Cue; Dev Tools AI; GoLinks; Warpdrive by Synthetic Minds; Basepilot; Autotab; Query Vary; Compose.ai; Willow; jo; Omni; Superagent; Vaero; Humand; Paratus Health; SciPhi; Stamp; Magic Loops; ElectroNeek; Luminai; Type
"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",Mathematicians,148,"Mito; Bayes Impact; Upsolve AI; General Analysis; Turing College; Verak; Cellbyte; Abalone Bio; Dartboard Energy; Coulomb AI; Algoriz; Coblocks; Leeroo; Trellis; Moonglow; Riveter AI; Hudson Labs (formerly Bedrock AI); inBalance; Tuva Health; Harmonic Discovery; Swayable; Metofico; May Mobility; Spade; Inevitable Tech; Pretzel AI; Buster; Neosync; Cambridge Cancer Genomics; Unravel Carbon; TrainLoop; Operand; Mercator; Centauri AI; Inscribe; Dataherald; Perlara; Overwatch; 1910 Genetics; Cruise; Unsloth AI; Medicare Vox (fka Fair Square); Dream3D; Verge Genomics; Clearest Health; Magicflow 𐂂; VantedgeAI; WeatherCheck; Output Biosciences; HypaHub; Corgi Labs; SigOpt; Atmo; Tejas AI; Olio Labs; Freshplum; finbar; Spiral Genetics; Tile; Talc; et al.; Pit.AI; Partcl; Maitai; Athina AI; Neptyne; FirstIgnite; Lavo Life Sciences; TensorPool; Guide Labs; PandasAI; BeGo; Askdata; Archil; Tailor-ED; Patterns; AfterQuery; Relativity Space; Soteris; Tasker AI; Melty; Medium Biosciences; MindsDB; Plexe; ClearBrain; MindPortal; Demeter; Segmed; Taktile; PostEra; Sequence Bio; Bunkerhill Health; GEn1E Lifesciences; Macromoltek; Atomwise; RunRL; Simplifine; Vizly; Probably Genetic; Arthena; Carbic; Redbird; Gaiascope; NeoWize; Bayesline; Elevate; Swades AI; Strong Compute; Nanograb; Roundtable; Insight Data Science; Turing Labs Inc.; Vendora; Silurian; Corgi; Cotera; HUD; Nabla Bio; Yhat; Exosonic, Inc.; Known Medicine; PicnicHealth; Marft; The Forecasting Company; RiskCube; MinusX; Framed Data; Evolvere BioSciences; Sepal AI; Keeling Labs; Basedash; Bindwell; Nextmv; Julius; KorrAI; Faction; iollo; Delineate; Carousel Technologies; Pathmind; Paperspace; OpenMeter; Smarking; Undermind; Rollstack; NextDrop; Two Dots; Inkling"
"Adjust controls to position rod and to regulate flux level, reactor period, coolant temperature, or rate of power flow, following standard procedures.",Nuclear Power Reactor Operators,8,TRACTIAN; Atmo; OpenMeter; Vespper; Elyos; Lynx; Palifer; Gecko Robotics
Adjust inventory records to reflect product movement.,Order Clerks,82,"Extend; Parsewise; Skyvern; Rider; Wattson Health; Metreecs; CambioML; Paradigm; Credal.ai; Handl; Giga ML; WareIQ; Lysto; Stamp; Struct; Seals AI; Jestor; Recurrency; trebu; AutoComputer; Sola; Cohere; Avallon AI; outloud.ai; Twine; Callback; DryMerge; Repacket; Narrative; Pernell; Calltree AI; Iambiq Technologies; Clara Labs; Dexterity; Typewise; Plivo; Airweave; Veryfi, Inc.; Compose.ai; Willow; Dataland; Onyx; Klarity; CopyCat; Mintplex Labs; Velos; Aqua Voice; MailTime; Cartage; Elyos; Tasker AI; Lumina; Axiom.ai; Symphony; Percept.AI; Retape; Zuni; Tetra; Dev Tools AI; Distro; Autotab; Zimi; Marr Labs; Sei; SkydropX; VOIQ; Panora; Tranqui Finanzas; HUD; Guac; Stack AI; Hazel; Simple AI; Protegee; NanoNets; Linc.; Respaid; Basepilot; Brevy; Patika; Fini; JustPaid.ai"
"Adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines.",Remote Sensing Technicians,53,Swades AI; Mach9; StratumAI; Reprompt; Ocular AI; Archil; Silurian; DigitalCarbon; Eventual; Dream3D; Deepnight; Airmada; Superb AI; Pachama; Moonglow; PearAI; Array Labs; Pina Earth; Bilanc; Segments.ai; LabelFlow; Narrative; Playment; Spark; HEO Robotics; edgetrace; Paradigm; EARTH AI; Iris Automation; Nyckel; Atmo; Zendar; Tenderd; CrowdAI; Zeitview; Meta; Dev Tools AI; Tile; Talc; IOMETE; Patchwork; Radical; KorrAI; Jido Maps; Standard Cyborg; Vizly; Sieve; Traverse Technologies; HyLight; Paperspace; Lamin; Roboflow; Gecko Robotics
Adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies.,"Claims Adjusters, Examiners, and Investigators",90,Extend; Parsewise; Skyvern; Automat; Remy; Dialect; Wattson Health; Friday; Layerup; Motion; CambioML; Credal.ai; Handl; Curacel; TrueClaim; Slingshot; Vaero; SciPhi; Epsilla; Overwatch; AutoComputer; Eloquent AI; Rada; Redouble AI; MarketBrief; Medicare Vox (fka Fair Square); Workflow86; Kyber; ClaimSorted; Clearest Health; WeatherCheck; Iambiq Technologies; Clara Labs; VoxOps AI; Fathom; Peppr AI; Talc; Asteroid; Willow; CombineHealth; FirstIgnite; Verihubs; Klarity; General Agency; Askdata; Velos; FurtherAI; Vizy; Soteris; Elyos; Tasker AI; edgetrace; Upfort; Telivy; Axiom.ai; Symphony; RiskAngle; VectorShift; Taktile; Dev Tools AI; Tetra; Axle; Autotab; Omni; Magic Loops; Sei; Lucite; Pibit.ai; Outerport; Shape; Corgi; Silurian; Fragment; HUD; Stream; Stack AI; Heron Data; Array Labs; Pyq AI; AviaryAI; NanoNets; Basedash; Basepilot; Tergle; Carousel Technologies; Harper; Two Dots; ElectroNeek; Fairway Health; Luminai
Adjust sales scripts to better target the needs and interests of specific individuals.,Telemarketers,131,"BIK; Boundo; rift; Hickory; Flockjay; AiSDR; Moonglow; Wattson Health; Truva; Hatch; SilkChart; Floworks; Giga ML; Ponyrun; Persana AI; Fabius; Apten; Apollo.io; Meticulate; Lysto; Conduit; Vector; Coldreach; Demodesk; Struct; Flyflow; Avallon AI; Xobni; Netomi; Cargo; Scribe; Sennu AI; throxy; Speechly; Fluently; DryMerge; Slik; Saleswhale; Pernell; Warmly,; Calltree AI; Topo; Clara Labs; Typewise; VoxOps AI; Sendbird; Fathom; Plivo; Flike; Venta AI; BoldVoice; StackLead; SubscriptionFlow; Compose.ai; Willow; FuseAI; Sameday; Cobbery; Solidroad; Bluebirds; Vogent; Mosaix.ai; Phonely; Marblism; Aqua Voice; Candid; MailTime; Popsy; Vizy; Elyos; Ergo; Tasker AI; Bicycle AI; Lumina; Axiom.ai; Symphony; Wingman; Nara; Zuni; Vendah; Tetra; Dev Tools AI; Sendblue; TypeLess; ShortLoop; JuziBot; Ciro; Autotab; Proxis; Paragon AI; Windsor; Tavus; LeadGenius; careCycle; Marr Labs; Opencall.ai; MosaicVoice; Champ; CoffeeAI; Swades AI; Chatfuel; Leaping AI; PlayHT; telli; VOIQ; Verbiflow; SalesSift; Observe.AI; OpenFunnel; Penguin AI; Tuesday; CozmoX AI; Sapling.ai; FirstQuadrant; PearAI; Simple AI; Terrakotta; Voiceops; Onward; AviaryAI; Roger; Podium; Hyperbound; Basepilot; Echo; Trellus; Lopus AI; Letterdrop; Artisan; Retell AI; Octolane AI"
